stock_name,exercise_price,Traded Volume(lacs),balance_units
NIFTY MIDSML 400,11241.4,11958.46,1195846000
TATACHEM,1128.1,148.4,14840000
TATAPOWER,222.8,2001.14,200114000
ANGELBRKG,1614,18.55,1855000
BHEL,76.55,1735.33,173533000
MINDAIND,823.45,6.76,676000
GREAVESCOT,143,36.53,3653000
VENKEYS,3131.9,2.51,251000
INDHOTEL,226.6,145.28,14528000
ASHOKLEY,147.45,438.37,43837000
DBL,736.05,17.65,1765000
RALLIS,321.3,19.98,1998000
GMRINFRA,45.3,229.59,22959000
SCHNEIDER,119.6,17.87,1787000
TTML,50.5,34.99,3499000
TATACOMM,1462.65,3.48,348000
TRIDENT,39.3,287.49,28749000
SHILPAMED,649,6.76,676000
TATACOFFEE,237.5,79.07,7907000
KRBL,319.65,7.71,771000
MAHINDCIE,254.5,3.97,397000
THYROCARE,1167,1.17,117000
SPICEJET,77.8,66.48,6648000
SEQUENT,222.7,12.87,1287000
JSWENERGY,392.95,8.91,891000
EIDPARRY,488.6,14.71,1471000
KALPATPOWR,433.3,4.25,425000
TRENT,1169,8.26,826000
NATIONALUM,104.6,276.97,27697000
GODFRYPHLP,1285.05,0.51,51000
SRTRANSFIN,1364.35,9.96,996000
COROMANDEL,878.4,4.07,407000
CERA,5573.45,0.14,14000
MOTILALOFS,937.4,4.06,406000
TATASTLLP,967,0.69,69000
TIMKEN,1740.4,0.41,41000
SCHAEFFLER,7839.7,0.26,26000
NLCINDIA,71.15,65.58,6558000
MOIL,169.55,5.42,542000
ASAHIINDIA,372.5,0.53,53000
VMART,4064.45,0.26,26000
GSFC,137.2,28,2800000
VAIBHAVGBL,722.7,0.97,97000
AAVAS,2883,1.33,133000
JAMNAAUTO,98.15,31.45,3145000
HEMIPROP,142.5,9.62,962000
FEDERALBNK,90.85,180.74,18074000
BALRAMCHIN,387.4,12.08,1208000
SUPRAJIT,367.95,1.63,163000
GUJGASLTD,633.95,9.14,914000
KEC,470.8,2.31,231000
ISEC,862.95,6.62,662000
WELCORP,147.05,12.8,1280000
STLTECH,284,2.62,262000
FDC,354.15,0.96,96000
KNRCON,304.4,4.68,468000
UNIONBANK,40.5,195.5,19550000
